ticker,entry_date,entry_price,exit_date,exit_price,exit_reason,return_pct
035720,2020-01-10,33118,2020-01-13,33217,breakout_failed,0.2989310948728896
084370,2020-01-10,17950,2020-01-13,17050,breakout_failed,-5.013927576601674
067310,2020-01-10,4203,2020-01-13,4174,breakout_failed,-0.6899833452295945
131290,2020-01-10,16250,2020-01-13,15700,breakout_failed,-3.384615384615386
036810,2020-01-10,9230,2020-01-13,8552,breakout_failed,-7.345612134344526
004710,2020-01-10,10246,2020-01-13,10197,breakout_failed,-0.4782354089400753
160980,2020-01-10,11900,2020-01-13,11950,breakout_failed,0.42016806722688926
092070,2020-01-10,10800,2020-01-13,10650,breakout_failed,-1.388888888888884
061040,2020-01-10,48024,2020-01-13,46924,breakout_failed,-2.290521405963686
046940,2020-01-10,8400,2020-01-13,8430,breakout_failed,0.3571428571428559
009150,2020-01-10,133500,2020-01-14,135500,breakout_failed,1.4981273408239737
195870,2020-01-13,18350,2020-01-14,18250,breakout_failed,-0.544959128065392
011070,2020-01-10,146000,2020-01-15,150000,breakout_failed,2.7397260273972712
043150,2020-01-10,30000,2020-01-15,30000,breakout_failed,0.0
020150,2020-01-13,46000,2020-01-15,47350,breakout_failed,2.934782608695663
090430,2020-01-14,234500,2020-01-15,236000,breakout_failed,0.6396588486140775
002790,2020-01-14,90300,2020-01-15,90300,breakout_failed,0.0
034230,2020-01-14,21700,2020-01-15,21350,breakout_failed,-1.6129032258064502
007700,2020-01-14,61750,2020-01-15,58750,breakout_failed,-4.858299595141702
123690,2020-01-14,16550,2020-01-15,16200,breakout_failed,-2.114803625377648
091590,2020-01-14,17800,2020-01-15,17250,breakout_failed,-3.08988764044944
099410,2020-01-14,3759,2020-01-15,3719,breakout_failed,-1.0641127959563734
257370,2020-01-14,22949,2020-01-15,23219,breakout_failed,1.1765218528040355
005930,2020-01-10,58800,2020-01-16,59100,breakout_failed,0.5102040816326481
006400,2020-01-13,244757,2020-01-16,259932,breakout_failed,6.200026965520911
104460,2020-01-13,13350,2020-01-16,13750,breakout_failed,2.9962546816479474
021050,2020-01-14,4010,2020-01-16,3965,breakout_failed,-1.122194513715713
005935,2020-01-15,49100,2020-01-16,48750,breakout_failed,-0.7128309572301372
009150,2020-01-15,135500,2020-01-16,133000,breakout_failed,-1.845018450184499
067310,2020-01-15,4339,2020-01-16,4449,breakout_failed,2.5351463470845825
009155,2020-01-15,53500,2020-01-16,52900,breakout_failed,-1.121495327102806
232140,2020-01-15,4720,2020-01-16,4620,breakout_failed,-2.1186440677966156
052710,2020-01-15,20669,2020-01-16,20800,breakout_failed,0.6337994097440625
126700,2020-01-15,13550,2020-01-16,13600,breakout_failed,0.36900369003689537
004770,2020-01-15,6060,2020-01-16,6040,breakout_failed,-0.330033003300334
053050,2020-01-15,2195,2020-01-17,2335,breakout_failed,6.378132118451019
000080,2020-01-16,31750,2020-01-17,31650,breakout_failed,-0.31496062992125706
068240,2020-01-16,16114,2020-01-17,15976,breakout_failed,-0.8563981630880013
009180,2020-01-16,1885,2020-01-17,1845,breakout_failed,-2.1220159151193685
216050,2020-01-16,18875,2020-01-17,18216,breakout_failed,-3.4913907284768175
051780,2020-01-16,55635,2020-01-17,50965,breakout_failed,-8.393996584883611
200710,2020-01-15,22882,2020-01-20,25450,breakout_failed,11.222795210208902
215200,2020-01-16,43600,2020-01-20,45450,breakout_failed,4.243119266055051
183300,2020-01-17,15279,2020-01-20,15177,breakout_failed,-0.6675829569998015
018290,2020-01-17,11550,2020-01-20,11650,breakout_failed,0.8658008658008587
160980,2020-01-17,12950,2020-01-20,13500,breakout_failed,4.247104247104239
236200,2020-01-17,40500,2020-01-20,40350,breakout_failed,-0.37037037037036535
090850,2020-01-17,6325,2020-01-20,6300,breakout_failed,-0.39525691699604515
061040,2020-01-17,50526,2020-01-20,48274,breakout_failed,-4.457111190278273
095340,2020-01-17,12800,2020-01-21,12950,breakout_failed,1.171875
213420,2020-01-17,29000,2020-01-21,29250,breakout_failed,0.8620689655172376
036200,2020-01-17,6480,2020-01-21,6540,breakout_failed,0.92592592592593
043150,2020-01-17,32200,2020-01-21,32400,breakout_failed,0.6211180124223503
