ticker,entry_date,entry_price,exit_date,exit_price,exit_reason,return_pct
011280,2024-01-10,3210,2024-01-11,3175,breakout_failed,-1.0903426791277204
084680,2024-01-10,2310,2024-01-12,2610,breakout_failed,12.987012987012992
036630,2024-01-10,5372,2024-01-12,5161,breakout_failed,-3.927773641102006
003530,2024-01-11,4400,2024-01-12,3745,breakout_failed,-14.886363636363631
041190,2024-01-11,8020,2024-01-12,7290,breakout_failed,-9.102244389027437
009140,2024-01-12,32200,2024-01-15,29000,breakout_failed,-9.937888198757761
950160,2024-01-12,12090,2024-01-16,13100,breakout_failed,8.354011579818032
003280,2024-01-12,4085,2024-01-16,4230,breakout_failed,3.5495716034271707
004140,2024-01-15,3065,2024-01-16,2850,breakout_failed,-7.014681892332786
348370,2024-01-15,107000,2024-01-17,114000,breakout_failed,6.542056074766345
008930,2024-01-16,56200,2024-01-17,49850,breakout_failed,-11.298932384341642
089030,2024-01-16,12470,2024-01-17,12230,breakout_failed,-1.9246190858059342
348370,2024-01-18,129000,2024-01-19,105100,breakout_failed,-18.527131782945737
405100,2024-01-18,22650,2024-01-22,27750,breakout_failed,22.51655629139073
300080,2024-01-18,14042,2024-01-22,17544,breakout_failed,24.93946731234866
082210,2024-01-19,4585,2024-01-22,4550,breakout_failed,-0.7633587786259555
080220,2024-01-19,26250,2024-01-23,30700,breakout_failed,16.952380952380963
089030,2024-01-19,14600,2024-01-23,15200,breakout_failed,4.109589041095885
051370,2024-01-19,15270,2024-01-23,17790,breakout_failed,16.502946954813357
124500,2024-01-22,10320,2024-01-23,10000,breakout_failed,-3.100775193798455
253590,2024-01-22,14270,2024-01-23,13150,breakout_failed,-7.848633496846535
241520,2024-01-22,4930,2024-01-23,4170,breakout_failed,-15.415821501014204
142210,2024-01-22,7300,2024-01-23,7340,breakout_failed,0.5479452054794498
047560,2024-01-19,39100,2024-01-24,40800,breakout_failed,4.347826086956519
085670,2024-01-22,8530,2024-01-24,7990,breakout_failed,-6.330597889800704
087600,2024-01-22,11700,2024-01-24,12800,breakout_failed,9.401709401709413
399720,2024-01-23,75900,2024-01-24,71300,breakout_failed,-6.060606060606055
102120,2024-01-23,19930,2024-01-24,20800,breakout_failed,4.365278474661305
052860,2024-01-23,3605,2024-01-24,3575,breakout_failed,-0.832177531206657
148780,2024-01-23,2085,2024-01-24,1929,breakout_failed,-7.482014388489211
115610,2024-01-23,9651,2024-01-25,9959,breakout_failed,3.1913791316962037
148150,2024-01-24,7230,2024-01-25,7190,breakout_failed,-0.5532503457814641
089890,2024-01-24,15660,2024-01-26,19800,breakout_failed,26.436781609195403
000500,2024-01-25,26250,2024-01-26,25100,breakout_failed,-4.380952380952385
098460,2024-01-25,21050,2024-01-26,19280,breakout_failed,-8.408551068883607
124500,2024-01-25,12170,2024-01-26,11770,breakout_failed,-3.286770747740342
061970,2024-01-25,8773,2024-01-26,8304,breakout_failed,-5.3459477943690885
028300,2024-01-26,65200,2024-01-29,63100,breakout_failed,-3.220858895705525
065350,2024-01-26,89500,2024-01-29,82500,breakout_failed,-7.8212290502793325
286940,2024-01-26,52900,2024-01-29,43500,breakout_failed,-17.769376181474485
190510,2024-01-26,20850,2024-01-29,20900,breakout_failed,0.23980815347721673
115610,2024-01-26,11050,2024-01-29,9851,breakout_failed,-10.850678733031671
085670,2024-01-26,10760,2024-01-30,12640,breakout_failed,17.472118959107807
294870,2024-01-29,17970,2024-01-30,17820,breakout_failed,-0.8347245409014992
348370,2024-01-29,169500,2024-01-31,163500,breakout_failed,-3.539823008849563
083450,2024-01-30,16788,2024-01-31,16663,breakout_failed,-0.744579461520134
051370,2024-01-30,21200,2024-01-31,19660,breakout_failed,-7.26415094339623
032850,2024-01-30,7760,2024-01-31,7350,breakout_failed,-5.283505154639179
067630,2024-01-30,14987,2024-02-01,15182,breakout_failed,1.3011276439580888
039130,2024-01-31,63700,2024-02-01,63100,breakout_failed,-0.9419152276295084
028260,2024-02-01,148700,2024-02-02,148700,breakout_failed,0.0
071320,2024-02-01,34400,2024-02-02,34400,breakout_failed,0.0
