ticker,entry_date,entry_price,exit_date,exit_price,exit_reason,return_pct
237880,2024-01-10,33550,2024-01-11,32800,breakout_failed,-2.235469448584204
011280,2024-01-10,3210,2024-01-11,3175,breakout_failed,-1.0903426791277204
323410,2024-01-11,29700,2024-01-12,29400,breakout_failed,-1.0101010101010055
003530,2024-01-11,4400,2024-01-12,3745,breakout_failed,-14.886363636363631
041190,2024-01-11,8020,2024-01-12,7290,breakout_failed,-9.102244389027437
009140,2024-01-12,32200,2024-01-15,29000,breakout_failed,-9.937888198757761
950160,2024-01-11,11690,2024-01-16,13100,breakout_failed,12.061591103507263
004140,2024-01-15,3065,2024-01-16,2850,breakout_failed,-7.014681892332786
008930,2024-01-16,56200,2024-01-17,49850,breakout_failed,-11.298932384341642
065450,2024-01-17,6900,2024-01-18,6140,breakout_failed,-11.014492753623184
405100,2024-01-18,22650,2024-01-22,27750,breakout_failed,22.51655629139073
300080,2024-01-18,14042,2024-01-22,17544,breakout_failed,24.93946731234866
131370,2024-01-18,5170,2024-01-22,5370,breakout_failed,3.868471953578334
039030,2024-01-19,183900,2024-01-23,191200,breakout_failed,3.969548667754208
089030,2024-01-19,14600,2024-01-23,15200,breakout_failed,4.109589041095885
051370,2024-01-19,15270,2024-01-23,17790,breakout_failed,16.502946954813357
029460,2024-01-22,22600,2024-01-23,23050,breakout_failed,1.9911504424778848
005430,2024-01-22,56000,2024-01-23,54500,breakout_failed,-2.67857142857143
241520,2024-01-22,4930,2024-01-23,4170,breakout_failed,-15.415821501014204
085670,2024-01-22,8530,2024-01-24,7990,breakout_failed,-6.330597889800704
102120,2024-01-23,19930,2024-01-24,20800,breakout_failed,4.365278474661305
148780,2024-01-23,2085,2024-01-24,1929,breakout_failed,-7.482014388489211
115610,2024-01-23,9651,2024-01-25,9959,breakout_failed,3.1913791316962037
123410,2024-01-24,4225,2024-01-25,4190,breakout_failed,-0.8284023668639007
148150,2024-01-24,7230,2024-01-25,7190,breakout_failed,-0.5532503457814641
089890,2024-01-24,15660,2024-01-26,19800,breakout_failed,26.436781609195403
000500,2024-01-25,26250,2024-01-26,25100,breakout_failed,-4.380952380952385
098460,2024-01-25,21050,2024-01-26,19280,breakout_failed,-8.408551068883607
073240,2024-01-25,5900,2024-01-26,5660,breakout_failed,-4.067796610169494
124500,2024-01-25,12170,2024-01-26,11770,breakout_failed,-3.286770747740342
061970,2024-01-25,8773,2024-01-26,8304,breakout_failed,-5.3459477943690885
950190,2024-01-25,14720,2024-01-26,14520,breakout_failed,-1.3586956521739135
028300,2024-01-26,65200,2024-01-29,63100,breakout_failed,-3.220858895705525
190510,2024-01-26,20850,2024-01-29,20900,breakout_failed,0.23980815347721673
042510,2024-01-26,14707,2024-01-29,14057,breakout_failed,-4.419664105527977
294870,2024-01-26,17530,2024-01-30,17820,breakout_failed,1.65430690245294
085670,2024-01-26,10760,2024-01-30,12640,breakout_failed,17.472118959107807
006800,2024-01-30,7855,2024-01-31,7836,breakout_failed,-0.24188415022279308
085620,2024-01-30,5700,2024-01-31,5780,breakout_failed,1.403508771929829
073240,2024-01-30,6110,2024-01-31,5890,breakout_failed,-3.6006546644844484
012630,2024-01-30,7340,2024-01-31,7320,breakout_failed,-0.27247956403270157
083450,2024-01-30,16788,2024-01-31,16663,breakout_failed,-0.744579461520134
051370,2024-01-30,21200,2024-01-31,19660,breakout_failed,-7.26415094339623
026150,2024-01-30,9400,2024-01-31,9010,breakout_failed,-4.148936170212769
032850,2024-01-30,7760,2024-01-31,7350,breakout_failed,-5.283505154639179
067630,2024-01-30,14987,2024-02-01,15182,breakout_failed,1.3011276439580888
028260,2024-01-31,138000,2024-02-02,148700,breakout_failed,7.7536231884058004
126700,2024-01-31,24450,2024-02-02,23950,breakout_failed,-2.0449897750511203
